Trace length, % Trace in CG, Trace_len/CG_size
4,0,0.230769231
8,0.125,0.538461538
9,0,0.16
7,0,1.2
15,0,0.538461538
48,0.104166667,0.279761905
5,0.4,0.133333333
6,0.166666667,0.217391304
5,0,0.571428571
10,0.1,0.375
4,0.25,0.428571429
4,0.25,0.75
9,0.333333333,0.615384615
9,0.333333333,0.615384615
4,0.25,0.375
5,0,0.666666667
38,0.105263158,0.256944444
2,0.5,0.142857143
4,0.25,1
8,0.125,0.583333333
21,0.142857143,0.25974026
4,0,1
26,0.038461538,0.284090909
7,0,3
9,0.333333333,0.32
4,0.25,0.428571429
4,0.25,0.6
5,0,2
6,0.166666667,0.25
4,0.25,0.428571429
7,0,0.176470588
10,0.4,0.818181818
5,0,0.108108108
6,0.166666667,0.238095238
12,0.166666667,0.113402062
6,0.166666667,0.5
7,0.142857143,0.461538462
6,0.166666667,0.238095238
7,0,0.75
2,0,0.111111111
6,0.166666667,0.384615385
7,0.142857143,0.315789474
10,0,0.529411765
13,0.153846154,0.292682927
4,0,1.5
7,0.142857143,0.260869565
8,0.125,0.205882353
5,0.2,0.8
3,0,0.153846154
14,0.142857143,0.270833333
9,0.222222222,0.727272727
4,0,0.3
7,0.428571429,0.272727273
28,0.035714286,0.290322581
6,0,0.833333333
22,0,0.954545455
10,0.1,0.166666667
6,0.333333333,0.3125
42,0.142857143,0.282758621
39,0.051282051,0.417582418
40,0.075,0.270833333
36,0.027777778,0.393258427
4,0,0.230769231
36,0.027777778,0.384615385
36,0.027777778,0.384615385
42,0.047619048,0.440860215
42,0.047619048,0.440860215
4,0,0.375
19,0.052631579,0.666666667
17,0,0.470588235
14,0.142857143,0.254901961
10,0.1,0.5625
4,0.25,0.375
4,0.25,1.5
3,0,1
4,0,0.6
34,0.088235294,0.340206186
30,0.1,0.247863248
6,0,0.5
5,0.4,0.8
8,0,1.4
4,0.25,1
2,0.5,0.5
46,0.065217391,0.279503106
38,0.105263158,0.381443299
3,0,1
9,0.111111111,0.210526316
4,0.5,0.214285714
9,0.222222222,0.444444444
6,0.166666667,0.172413793
3,0.333333333,0.4
2,0,0.090909091
8,0,0.583333333
27,0.037037037,0.26
19,0.157894737,0.209302326
7,0,1
5,0.2,0.333333333
6,0.166666667,0.294117647
3,0,0.285714286
8,0.125,0.538461538
4,0.25,0.2
5,0.4,0.8
10,0.2,0.183673469
5,0,0.571428571
9,0.333333333,0.727272727
10,0.2,0.264705882
9,0.333333333,0.615384615
9,0,0.666666667
20,0.3,0.413043478
10,0.1,0.818181818
18,0,0.653846154
10,0,0.375
7,0.285714286,0.6
5,0,0.444444444
43,0.23255814,0.333333333
2,0.5,0.5
4,0,0.75
4,0,1
5,0,0.444444444
4,0,0.6
8,0,0.583333333
9,0.111111111,0.8
65,0,5.818181818
4,0.25,0.6
20,0,9.5
6,0,0.416666667
4,0.25,0.6
5,0.2,1
2,0.5,0.166666667
3,0.666666667,0.133333333
2,0.5,0.142857143
27,0.037037037,0.292134831
7,0,2
27,0.037037037,0.292134831
35,0.028571429,0.382022472
4,0,1
8,0.25,0.636363636
7,0.571428571,0.139534884
16,0,0.441176471
4,0.25,1.5
5,0,0.8
3,0.666666667,0.2
4,0,1.5
27,0.037037037,0.333333333
5,0,0.571428571
5,0.2,1
33,0.151515152,0.290909091
11,0.363636364,0.476190476
17,0.176470588,0.761904762
23,0.043478261,0.20952381
16,0,0.576923077
7,0.142857143,0.5
5,0.2,0.137931034
10,0.1,0.375
42,0.142857143,0.282758621
4,0,0.230769231
2,0.5,0.25
43,0.11627907,0.304347826
21,0,6.666666667
7,0.142857143,0.24
44,0.045454545,0.462365591
4,0,1.5
8,0,1
4,0.25,0.6
22,0.090909091,0.304347826
3,0,0.153846154
7,0.142857143,0.139534884
8,0.125,0.333333333
4,0.5,0.166666667
40,0.1,0.270833333
44,0.068181818,0.5
6,0.166666667,0.147058824
4,0,1.5
6,0.333333333,0.147058824
6,0,0.416666667
43,0.093023256,0.40776699
6,0,0.454545455
4,0.5,0.75
15,0.133333333,0.291666667
7,0.142857143,0.545454545
4,0.5,0.6
5,0.2,0.571428571
6,0.166666667,0.454545455
5,0,0.307692308
3,0.333333333,0.333333333
8,0.25,0.538461538
12,0.25,0.297297297
24,0.083333333,0.319444444
4,0,0.230769231
9,0.111111111,0.615384615
2,0.5,0.142857143
28,0.035714286,0.293478261
2,0.5,0.166666667
3,0.666666667,0.285714286
11,0.090909091,0.222222222
5,0.2,0.8
8,0,0.21875
21,0,0.363636364
8,0.125,0.205882353
28,0.035714286,0.27
5,0,0.444444444
12,0.166666667,0.333333333
7,0.285714286,0.24
2,0.5,0.2
4,0.25,0.5
4,0.25,0.6
24,0,2.090909091
3,0,1
2,0.5,0.142857143
34,0.117647059,0.33
11,0,2.5
8,0,0.194444444
2,0.5,0.142857143
3,0.333333333,0.333333333
26,0.230769231,0.320512821
5,0.2,0.571428571
4,0.25,0.1875
5,0,0.266666667
4,0,0.2
13,0.230769231,0.292682927
5,0,0.571428571
4,0,0.375
4,0,1
4,0.25,0.1875
5,0.2,1
19,0.157894737,0.209302326
