Trace length, % Trace in CG, Trace_len/CG_size
16,0,0.3
34,0,0.128404669
23,0,0.252873563
38,0,0.238709677
59,0,0.773333333
57,0,0.466666667
24,0,0.242105263
71,0.042253521,0.339805825
96,0,0.766129032
16,0.0625,0.384615385
26,0.115384615,0.316455696
17,0.058823529,0.64
66,0,0.802469136
11,0,0.555555556
11,0,0.555555556
15,0.066666667,0.482758621
14,0.071428571,0.541666667
88,0.022727273,1.225352113
6,0,0.178571429
30,0,0.644444444
19,0.157894737,0.189473684
8,0.125,0.233333333
69,0.014492754,0.755555556
15,0,0.13592233
29,0,0.583333333
16,0,0.428571429
16,0,0.428571429
16,0,0.428571429
26,0.076923077,0.20661157
7,0.285714286,0.333333333
56,0.017857143,0.591397849
119,0.008403361,1.735294118
50,0.02,0.550561798
23,0.130434783,0.226804124
81,0,0.329218107
6,0.166666667,0.333333333
89,0.02247191,1.173333333
16,0,0.576923077
14,0,0.565217391
24,0.125,0.5
27,0,0.302325581
11,0,0.23255814
54,0.018518519,0.168253968
17,0.058823529,0.307692308
3,0,0.285714286
31,0.064516129,0.379746835
10,0.2,0.36
16,0.125,0.3
13,0.076923077,0.090225564
6,0.166666667,0.096153846
44,0.022727273,0.221649485
12,0,0.125
11,0,0.113636364
13,0,0.136363636
11,0,0.113636364
13,0,0.136363636
12,0,0.125
18,0,0.293103448
15,0.066666667,0.254545455
15,0.066666667,0.29787234
14,0.214285714,0.590909091
8,0.25,0.24137931
11,0,0.163934426
7,0,0.230769231
16,0,0.6
24,0.125,0.5
21,0,0.170940171
45,0,0.586666667
11,0.090909091,0.285714286
57,0,0.24137931
32,0,1.107142857
57,0.01754386,0.54368932
29,0,0.8
5,0.4,0.042553191
19,0.052631579,0.155172414
55,0,0.947368421
102,0.019607843,1.01
41,0,0.606060606
9,0,0.156862745
93,0,1.46031746
23,0.086956522,0.6875
14,0.071428571,0.333333333
18,0,0.215189873
13,0.076923077,0.461538462
19,0.052631579,0.3
32,0.03125,0.212328767
36,0,1.029411765
7,0,0.4
22,0,5.25
11,0,1.111111111
15,0.066666667,0.636363636
34,0.088235294,0.25
6,0.166666667,0.416666667
19,0.105263158,0.72
14,0.071428571,0.419354839
22,0.181818182,0.184210526
75,0,0.305785124
23,0.043478261,0.366666667
11,0,0.196078431
9,0,0.32
49,0.081632653,0.307692308
47,0,0.92
63,0,0.369047619
14,0,0.5
3,0,1
52,0,0.68
49,0,1.142857143
34,0.029411765,0.515625
11,0,0.416666667
28,0.107142857,0.818181818
38,0.026315789,0.145669291
4,0,0.214285714
6,0.166666667,0.555555556
59,0.050847458,0.333333333
9,0,1.142857143
21,0.095238095,0.512820513
